Country Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),"Population, total",Urban population growth (annual %)
Afghanistan,0.3291696103727964,72.6969374297486,15.728022695626668,0.103138023195208,2.9928854017786524,33263355.111111112,3.8850088879050526
Albania,1.7606342049760062,100.0,38.61997431967297,17.5607302081438,-0.2345199171816524,2888827.777777778,1.6136130259603267
Algeria,3.471263493872518,99.51485688832145,0.14860726516631673,7.496706685536413,1.980570687645883,38998184.55555555,2.905816109832152
Andorra,5.9283140894729325,100.0,19.409272350082784,24.881816521009267,-1.0270025305757813,79991.66666666667,-1.133777891972581
Angola,1.2742147783734659,37.12858123779297,51.701173118790074,6.97095113063056,3.4853529870719235,26999530.222222224,4.642578107776254
Antigua and Barbuda,5.796679668596097,99.12928064672886,0.0,18.8231157926992,1.1593180106426155,92397.0,0.19927594471784751
Arab World,4.719193404691472,88.01356682121865,4.36565656842008,5.650894822017123,2.150702343318313,387649780.3333333,2.72843252348664
Argentina,4.628152888753334,99.6416435623169,10.01622547097772,8.835500943879701,1.0498748316896933,42657477.333333336,1.1933905854560782
Armenia,1.789071721267448,99.95889244079589,9.037183256241951,23.1103352040144,0.24234385134955405,2911817.4444444445,0.17375700045475279
Aruba,15.819878517173226,99.16953651886928,6.42105932349243,12.78838417335193,0.4706712154439546,103736.88888888889,0.46796519770203143
Australia,16.767445336488038,100.0,8.693250186065123,18.503748204771465,1.5737871041468323,23478909.444444444,1.6970607800335846
Austria,7.488991868874848,100.0,33.25736887864252,28.41198777040334,0.6513446937793278,8581687.444444444,0.7689902671224971
Azerbaijan,3.7151824742697004,99.97999839782716,2.967543314186307,10.153417080558134,1.1717373535533666,9519844.222222222,1.6800772483356412
The Bahamas,5.883316848715913,100.0,1.2349742052016015,34.82243168501767,1.090035627029524,370604.6666666667,1.176041077775181
Bahrain,22.75735522390348,100.0,0.0,6.647831875100613,3.1212369234676722,1370134.7777777778,3.209698470124847
